Title,Details,Date
COVID Repealer,"The Municipal Code of Chicago authorizes the Commissioner of Public Health to implement emergency measures to stop the spread of COVID-19, as well as determine when the threat to public health posed by COVID-19 has diminished to the point that such measures may be repealed. The Chicago Department of Public Health issued several orders in response to the COVID-19 pandemic. This Repealer now rescinds the listed orders specified in its contents, as well as the City of Chicago Substitute Ordinance 2021-1219 regarding COVID-19.",5/13/24
Illinois Open Meetings Act & the End of the State COVID-19 Disaster Proclamation,"The Illinois Open Meetings Act (OMA) is a state law that requires meetings of public bodies be open to the public. Under Section 7 of the Open Meetings Act (5 ILCS 120/7), meetings can be held by audio or video conference, instead of in person, only if a number of conditions are met, including that “the Governor or the Director of the Illinois Department of Public Health has issued a disaster declaration related to public health concerns.”",5/11/23
"PUBLIC HEALTH ORDER No. 2020-2 (SEVENTH AMENDED AND RE-ISSUED): Duties of Hospitals, Other Congregate Facilities and Business Establishments","This order establishes protocols for acute care facilities and hospitals in order to mitigate the impact of COVID-19. The protocols include policies for reducing personal protective equipment waste, safety restrictions on hospital visitors, monitoring employees for symptoms of COVID-19, and COVID-19 reporting requirements. The amended order permits all acute care hospitals to implement visitor restrictions based on CDPH requirements, which may be periodically updated and distributed via the Health Alert Network based on community risk level. The order continues to require congregate facilities to report clusters of COVID-19 patients.",1/1/23
PUBLIC HEALTH ORDER No. 2020-4 - Medical Data-Sharing Requirements (Second Amended and Re-issued),"This order requires health care providers within the City of Chicago to provide to the Chicago Department of Public Health data on COVID-19-related testing, vaccinations, clinical care, and treatments.",4/29/20
PUBLIC HEALTH ORDER No. 2021-2 - Proof of Vaccination in Public Places (Fourth Amended and Re-issued),"This order requires any individual 5 years of age or older to show proof that they are fully vaccinated against COVID-19 to dine indoors, visit gyms, or enjoy entertainment venues where food or drink are being served. Read thefull order No. 2021-2.",12/21/21
PUBLIC HEALTH ORDER No. 2021-1 - Masks Required Indoors in Public Places,"This order requires any individual, regardless of vaccination status, who is age two or older and able to medically tolerate a mask (a paper, fabric or cloth filter that securely covers the nose and mouth) to wear a mask indoors in any public place. Read thefull order No. 2021-1.",8/20/21
"PUBLIC HEALTH ORDER No. 2020-2 (FIFTH AMENDED AND RE-ISSUED): Duties of Hospitals, Other Congregate Facilities and Business Establishments","This order establishes protocols for acute care facilities and hospitals in order to mitigate the impact of COVID-19. The protocols include policies for reducing personal protective equipment waste, safety restrictions on hospital visitors, monitoring employees for symptoms of COVID-19, and COVID-19 reporting requirements. The amended order permits all acute care hospitals to implement visitor restrictions based on CDPH requirements, which may be periodically updated and distributed via the Health Alert Network based on community risk level. The order continues to require congregate facilities to report clusters of COVID-19 patients.",6/30/21
PUBLIC HEALTH ORDER No. 2020-9 (AMENDED AND RE-ISSUED):,This order no longer requires bars or taverns that do not serve food to partner with a licensed retail food establishment to offer food to patrons.,6/11/21
PUBLIC HEALTH ORDER No. 2020-5 (AMENDED AND RE-ISSUED): Cessation of Alcoholic Liquor Sales,This order no longer provides restrictions on bars and restaurants during standard hours and permits late hour liquor licensees to operate without restriction for the first time since the COVID-19 pandemic began if only vaccinated patrons are permitted to enter during late hours. Liquor stores must continue to cease sales of liquor after 11 PM.,5/18/21
PUBLIC HEALTH ORDER No. 2020-9: Bridge Phase (AMENDED AND RE-ISSUED),This order outlines adjustments for the Bridge Phase of reopening. It includes loosened restrictions for fully vaccinated individuals and follows the CDC and State of Illinois guidance regarding masks.,5/18/21
PUBLIC HEALTH ORDER No. 2020-5 (AMENDED AND RE-ISSUED): Cessation of Alcoholic Liquor Sales,This order requires the closure of all liquor stores by 11 pm. Restaurants and bars must close by 1 am (there is no separate curfew for the sale of alcohol). This order ensures that there are no congregations of people that could result in increased transmission of COVID-19.,3/2/21
UPDATED GUIDANCE FOR PUBLIC HEALTH ORDER 2020-4: Medical Data Sharing Requirements (AMENDED AND RE-ISSUED),"The Chicago Department of Public Health (CDPH) released updated guidance to address questions regarding the minimal standards and timeframe to meet Public Health Order 2020-4 which requires acute and long term hospitals to provide CDPH access to electronic health records for the purposes of collecting essential data on patients tested for COVID-19. CDPH is definingMay 6, 2020, as the date by which the minimal standards for reporting should be in place. The most recent technical guidance on data transmission to meet this Public Health order is linked below, and can be found at theCDPH HAN page. Additionally, CDPH provided clarity for all healthcare providers regarding necessary data to be collected and submitted with all COVID-19 tests.",1/15/21
STAY-AT-HOME-ADVISORY (AMENDED AND RE-ISSUED),"The Stay-at-Home Advisory has been extended, and the Travel Order policy has been updated in response to new CDC guidelines.",1/20/21
PUBLIC HEALTH ORDER No. 2020-5 (AMENDED AND RE-ISSUED): Cessation of Alcoholic Liquor Sales,"This order maintains the closure of all liquor stores at 9 p.m., but it permits restaurants and bars to sell liquor as late as 11 p.m. (with establishment closures by 12:00 a.m.). This order ensures that there are no congregations of people that could result in increased transmission of COVID-19.",1/31/21
PUBLIC HEALTH ORDER No. 2020-11: Non-essential Business Curfew,The order imposing a business curfew from 11:00 p.m. to 6:00 a.m. for all non-essential businesses is repealed.,1/31/21
